Year,Month,Day,Province,Fire_ID,Latitude,Longitude,Start_Date,Detect_Date,Cause,Size,Fire_Region,Fire_Zone,EcoZone,EcoRegion,EcoDistrict
1960,7,13,BC,6010168,49.7,-115.4,7/13/60,0/0/00,LTG,4226.90,NEL,INT,14,206,995
1960,7,13,BC,6010225,49.1,-114.6,7/13/60,7/14/60,LTG,1108.80,NEL,INT,14,214,1017
1960,7,13,BC,6010249,49.3,-115.6,7/13/60,7/14/60,LTG,3723.90,NEL,INT,14,205,992
1960,7,26,BC,6010332,49,-115.1,7/26/60,7/26/60,MAN,242.80,NEL,INT,14,213,1015
1960,7,13,BC,6020148,50.2,-115.1,7/13/60,0/0/00,LTG,2864.70,NEL,INT,14,206,995
1960,7,13,BC,6020191,50.7,-116.5,7/13/60,7/15/60,LTG,218.50,NEL,INT,14,205,989
1960,7,13,BC,6030176,51.7,-117.6,7/13/60,7/14/60,LTG,260.80,NEL,INT,14,213,1014
1960,7,13,BC,6030207,52.2,-118.3,7/13/60,7/13/60,LTG,849.80,NEL,INT,14,206,994
1960,7,13,BC,6030387,51.1,-116.3,7/13/60,0/0/00,LTG,360.10,NEL,INT,14,206,995
1960,7,1,BC,6030468,52.4,-117.7,7/1/60,0/0/00,LTG,473.40,NEL,INT,14,207,1000
1960,8,3,BC,6030498,52,-117.7,8/3/60,8/5/60,LTG,206.30,NEL,INT,14,206,994
